County,City,POPULATION,VIOLENT CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT
Seneca County,Fostoria,9184,9,0,1,4,4
Seneca County,Tiffin,17690,19,0,1,2,16
#N/A,#N/A,24747,55,0,1,27,27
Shelby County,Sidney,20836,39,0,13,11,15
Shelby County,Fort Loramie,1493,0,0,0,0,0
Shelby County,Jackson Center,1453,0,0,0,0,0
#N/A,#N/A,24732,11,1,5,2,3
Stark County,Canton,72111,814,7,69,242,496
Stark County,Massillon,32301,85,1,26,21,37
Stark County,Alliance,21984,131,1,14,15,101
Stark County,Brewster,2171,1,0,0,0,1
Stark County,Canal Fulton,5497,5,0,1,0,4
#N/A,#N/A,1603,0,0,0,0,0
Stark County,Hartville,2968,1,0,0,1,0
