,County,City,MONTH,ORI,AGENCY NAME,POPULATION,VIOLENT CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT
602,Summit County,Peninsula,12,OH07718,PENINSULA,570,0,0.0,0.0,0,0
607,Summit County,New Franklin,12,OH07729,NEW FRANKLIN,"14,309",12,1.0,7.0,0,4
611,Trumbull County,Warren,12,OH07807,WARREN,"40,425",228,2.0,34.0,85,107
612,Trumbull County,Hubbard,12,OH07802,HUBBARD,"7,654",8,0.0,1.0,1,6
615,Trumbull County,Niles,12,OH07806,NILES,"18,667",59,1.0,3.0,32,23
616,Trumbull County,Cortland,12,OH07808,CORTLAND,"6,931",3,0.0,2.0,0,1
625,Trumbull County,Vienna Center,12,OH07828,VIENNA TOWNSHIP,"3,844",1,0.0,0.0,0,1
627,Tuscarawas County,Dennison,11,OH07901,DENNISON,"2,637",0,0.0,0.0,0,0
640,Union County,Plain City,10*,OH04906,PLAIN CITY,829,0,0.0,0.0,0,0
641,Union County,Marysville,12,OH08001,MARYSVILLE,"22,851",12,0.0,3.0,2,7
642,Union County,Richwood,1,OH08002,RICHWOOD,"2,256",0,0.0,0.0,0,0
645,Van Wert County,Van Wert,12,OH08101,VAN WERT,"10,755",31,0.0,13.0,2,16
652,Warren County,Franklin,12,OH08301,FRANKLIN,"11,818",24,0.0,7.0,8,9
653,Warren County,Lebanon,12,OH08303,LEBANON,"20,515",11,0.0,9.0,0,2
654,Warren County,Mason,12,OH08304,MASON,"31,793",13,0.0,6.0,6,1
657,Warren County,Maineville,5,OH08311,MAINEVILLE,983,0,0.0,0.0,0,0
