County,City,POPULATION,VIOLENT CRIME,MURDER,FORCIBLE RAPE,ROBBERY,AGG ASSAULT
#N/A,#N/A,4395,2,,,2,
#N/A,#N/A,24231,15,3,3,3,6
#N/A,#N/A,,,,,,
Portage County,Aurora,15567,7,,2,2,3
Portage County,Kent,28933,62,,7,18,37
Portage County,Hiram,1407,,,,,
#N/A,#N/A,,3,,,3,
Portage County,Streetsboro,16049,5,,,,5
#N/A,#N/A,10390,14,,5,4,5
#N/A,#N/A,,,,,,
#N/A,#N/A,279,,,,,
#N/A,#N/A,73566,41,,2,21,18
#N/A,#N/A,,,,,,
Preble County,Eaton,8369,17,,3,1,13
#N/A,#N/A,877,,,,,
#N/A,#N/A,1623,,,,,
Preble County,West Alexandria,1352,3,,1,,2
#N/A,#N/A,27627,18,2,3,,13
#N/A,#N/A,,,,,,
Putnam County,Ottawa,4438,1,,1,,
#N/A,#N/A,183,,,,,
Putnam County,Leipsic,2081,,,,,
#N/A,#N/A,1532,,,,,
#N/A,#N/A,142,,,,,
#N/A,#N/A,23800,10,1,4,1,4
#N/A,#N/A,,,,,,
Richland County,Mansfield,47480,178,1,27,93,57
#N/A,#N/A,18,,,,,
#N/A,#N/A,6175,12,,,6,6
Richland County,Plymouth,940,,,,,
Richland County,Shelby,9241,12,,6,3,3
Richland County,Bellville,1903,,,,,
#N/A,#N/A,4784,5,,4,1,
#N/A,#N/A,,,,,,
#N/A,#N/A,52031,34,2,8,12,12
#N/A,#N/A,,,,,,
Ross County,Chillicothe,21954,101,,11,26,64
#N/A,#N/A,56290,47,,13,9,25
#N/A,#N/A,,,,,,
Sandusky County,Clyde,6303,3,,1,1,1
Sandusky County,Fremont,16676,27,,1,12,14
Sandusky County,Gibsonburg,2572,8,,1,1,6
#N/A,#N/A,27805,66,,2,2,62
#N/A,#N/A,,,,,,
#N/A,#N/A,,,,,,
#N/A,#N/A,2266,2,,,2,
#N/A,#N/A,20170,91,,11,40,40
#N/A,#N/A,,2,,,,2
#N/A,#N/A,56836,12,,4,7,1
#N/A,#N/A,,,,,,
#N/A,#N/A,9422,14,,2,4,8
Seneca County,Bloomville,951,,,,,
#N/A,#N/A,26136,1,,1,,
#N/A,#N/A,,,,,,
Shelby County,Sidney,21177,66,,8,17,41
Shelby County,Jackson Center,1460,,,,,
#N/A,#N/A,638,,,,,
#N/A,#N/A,24185,5,,2,,3
#N/A,#N/A,,,,,,
Stark County,Canton,72914,729,10,64,414,241
Stark County,Massillon,32104,68,,16,31,21
Stark County,Alliance,22253,96,2,17,31,46
Stark County,Brewster,2108,1,,,,1
Stark County,Canal Fulton,5472,3,,,,3
Stark County,East Canton,1588,2,,,1,1
Stark County,Hartville,2941,1,,,,1
Stark County,Louisville,9173,5,,,1,4
Stark County,Minerva,1939,2,,1,,1
Stark County,Navarre,1954,2,,2,,
