ORI,AGENCY NAME,County Name,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT,BURGLARY,LARCENY,MTR VEHICLE THEFT,ARSON
OH03101,ADDYSTON,HAMILTON COUNTY,936,3,21,,1,,2,5,15,1,
OH03102,AMBERLEY VILLAGE,HAMILTON COUNTY,"3,607",,29,,,,,1,28,,
OH03104,BLUE ASH,HAMILTON COUNTY,"12,248",16,278,2,2,4,8,42,229,7,
OH03105,CHEVIOT,HAMILTON COUNTY,"8,269",15,231,,1,9,5,33,177,21,
OH03106,CLEVES,HAMILTON COUNTY,"3,418",,1,,,,,,1,,
OH03107,DEER PARK,HAMILTON COUNTY,"5,665",6,51,,1,,5,4,44,3,
OH03108,DELHI TOWNSHIP,HAMILTON COUNTY,"29,619",15,416,,5,3,7,71,319,26,1
OH03109,ELMWOOD PLACE,HAMILTON COUNTY,"2,179",1,1,,,,1,,1,,
OH03110,EVENDALE,HAMILTON COUNTY,"2,767",9,233,,,1,8,8,218,7,
OH03111,FAIRFAX,HAMILTON COUNTY,"1,702",3,253,1,,2,,2,249,2,
OH03112,FOREST PARK,HAMILTON COUNTY,"18,665",50,435,1,7,20,22,70,345,20,1
OH03113,GLENDALE,HAMILTON COUNTY,"2,157",,10,,,,,2,8,,
OH03115,GREENHILLS,HAMILTON COUNTY,"3,584",1,43,,,,1,4,38,1,
OH03116,HARRISON,HAMILTON COUNTY,"11,246",6,182,1,,5,,16,157,9,
OH03117,INDIAN HILL,HAMILTON COUNTY,"5,830",2,43,,2,,,5,35,3,
OH03119,LOCKLAND,HAMILTON COUNTY,"3,427",16,131,1,1,3,11,27,85,19,1
OH03120,LOVELAND,HAMILTON COUNTY,"9,953",10,86,,5,1,4,19,61,6,1
OH03122,MARIEMONT,HAMILTON COUNTY,"3,435",,41,,,,,5,34,2,
OH03123,MONTGOMERY,HAMILTON COUNTY,"10,638",4,152,,2,1,1,8,139,5,
OH03124,MOUNT HEALTHY,HAMILTON COUNTY,"6,020",29,249,,6,10,13,56,170,23,1
OH03125,NEWTOWN,HAMILTON COUNTY,"2,679",1,21,,,,1,5,16,,
OH03127,NORTH COLLEGE HILL,HAMILTON COUNTY,"9,311",44,310,1,8,17,18,48,236,26,3
OH03128,NORWOOD,HAMILTON COUNTY,"19,994",68,895,,15,28,25,132,707,56,2
OH03129,READING,HAMILTON COUNTY,"10,307",28,291,1,4,7,16,52,232,7,
OH03133,SPRINGDALE,HAMILTON COUNTY,"11,203",,,,,,,,,,
OH03134,SPRINGFIELD TOWNSHIP,HAMILTON COUNTY,"36,571",73,674,1,6,31,35,131,495,48,7
OH03135,WOODLAWN,HAMILTON COUNTY,"3,292",12,129,,,4,8,4,120,5,
OH03136,WYOMING,HAMILTON COUNTY,"8,531",3,85,,,3,,15,68,2,
OH03137,UNIVERSITY OF CINCINNATI,HAMILTON COUNTY,,39,283,,31,1,7,15,261,7,
OH03142,COLERAIN TOWNSHIP,HAMILTON COUNTY,"58,996",100,"1,708",1,14,41,44,223,"1,400",85,7
OH03144,GREEN TOWNSHIP,HAMILTON COUNTY,"58,853",52,"1,237",,14,19,19,218,963,56,
OH03158,MOUNT ST. JOSEPH UNIVERSITY,HAMILTON COUNTY,,,5,,,,,2,3,,
OH03100,HAMILTONCOUNTY SHERIFF,HAMILTON COUNTY,"116,663",183,"2,507",4,44,54,81,399,"1,918",190,6
OH03146,HAMILTON COUNTY PARKS,HAMILTON COUNTY,,,75,,,,,3,72,,1
OH00201,BLUFFTON,HANCOCK COUNTY,170,,2,,,,,,2,,
OH03201,FINDLAY,HANCOCK COUNTY,"41,474",128,"1,304",3,25,24,76,216,"1,050",38,3
